NumAtoms,NumHeteroatoms,NumHAcceptors,TPSA,MolLogP,MinPartialCharge,FpDensityMorgan1,MaxEStateIndex,MinEStateIndex,Eccentricity,NPR2,SpherocityIndex,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,P_ratio
0.375,0.3125,0.6000000000000001,0.21710855427713843,0.2998283627058722,0.017042235535439598,0.622132253711201,0.6935007413389807,0.3192727016236079,0.6818839627371815,0.510531213869627,0.3378544725202133,0.5515190342897809,0.31999999999999984,1.0,0.0,0.3139904341305669,0.23387096774193505,0.3589743589743589,0.12888888888888894,0.16666666666666663,0.04269662921348319,0.0,0.0,0.0
0.25,0.1875,0.8,0.45512756378189084,0.136027553354638,0.017183675293285905,0.7441520467836259,0.08862472312194747,0.9763299115126723,0.5673982230995596,0.4444203763656096,0.5405794147703745,0.7442205171431009,0.31999999999999984,1.0,0.0,0.31399416678085307,0.33720930232558066,0.3828264758497316,0.3310782241014798,0.0,0.05461196759864126,0.0,0.0,0.0
0.25,0.1875,0.8,0.3094547273636817,0.15557878323152186,0.017588891317032118,0.48830409356725146,0.10147176286584969,0.9825267977512119,0.6571997909901497,0.3682499998013855,0.29639083259458965,0.5111470560363329,0.31999999999999984,1.0,0.0,0.31400491935998326,0.18557152875175253,0.5150501672240801,0.11462450592885376,0.0,0.037127503663898415,0.0,0.0,0.0
0.4375,0.375,0.8,0.3094547273636817,0.28266463329306585,0.017589057945638142,0.5679012345679012,0.3972850795673555,0.28028060364531737,0.6738826707843941,0.6321458364343389,0.562074950813307,0.7406540091007414,0.31999999999999984,1.0,0.0,0.3140049202625097,0.18557152875175253,0.5150501672240801,0.11462450592885376,0.16304347826086954,0.037127503663898415,0.0,0.0,0.0
0.25,0.1875,0.8,0.21710855427713843,0.2574330942977009,0.017159967797833353,0.6929824561403509,0.11138233638257411,0.9875343825904358,0.7343923600263826,0.22683265993206359,0.1384414999374573,0.2858801406380036,0.31999999999999984,1.0,0.0,0.313993665919758,0.18557152875175253,0.3478260869565216,0.11462450592885376,0.0,0.2877381533952126,0.0,0.0,0.0
0.4375,0.375,0.8,0.21710855427713843,0.3845189443592449,0.017160127286173665,0.6588693957115012,0.4677602690196174,0.34162351792581036,0.7294161956869751,0.6088841296253455,0.5170882094540102,0.7133457538642254,0.31999999999999984,1.0,0.0,0.313993666911305,0.18557152875175253,0.3478260869565216,0.11462450592885376,0.16304347826086954,0.2877381533952126,0.0,0.0,0.0
0.1875,0.1875,0.6000000000000001,0.21710855427713843,0.26323049374994667,0.017158305657978712,0.7063310450038139,0.08243979113095534,0.9855469973573688,0.6801700236821775,0.6692583618702839,0.6953690455844519,0.8272588811433985,0.5142857142857142,1.0,0.0,0.3139935960100341,0.23387096774193594,0.39560439560439553,0.17575757575757567,0.0,0.06099518459069023,0.0,0.0,0.0
0.3125,0.1875,0.8,0.24952476238119053,0.16377510659504158,0.01732736811654556,0.43508771929824575,0.13388300884832116,0.9862668376780073,0.7015402275520235,0.3245907323643722,0.21537136560598658,0.4633285799622344,0.1499999999999999,1.0,0.0,0.3139980254149847,0.14500000000000002,0.3076923076923076,0.21090909090909093,0.0,0.01707865168539327,0.0,0.0,0.0
0.3125,0.3125,1.0,0.6487243621810903,0.14124235699985999,0.018051475967002517,0.7298245614035087,0.08689954921348075,0.9314790721930581,0.6397560800603173,0.39911215033754055,0.48917682632360926,0.6755163537654061,0.5142857142857142,1.0,0.0,0.31401737671896396,0.1328812316715542,0.7202797202797203,0.3115702479338843,0.0,0.048518896833503605,0.0,0.0,0.0
0.5,0.375,1.0,0.5910955477738868,0.04729878311728744,0.017177034473069064,0.517543859649123,0.4361404126544359,0.43704928101987517,0.6261795494603759,0.7134721307066536,0.6177961538858008,0.7752208856113323,0.1499999999999999,1.0,0.0,0.31399388051558386,0.0242696287279367,0.571843251088534,0.16912521440823325,0.0,0.2215391138435446,0.0,0.0,0.0
0.25,0.25,0.40000000000000013,0.18469234617308644,0.36009275839123617,0.41952271396595986,0.641812865497076,0.3545239872884567,0.28608332186486296,0.4124518533543786,0.23659667114420446,0.38887665846852826,0.5670386383863226,0.5142857142857142,1.0,0.0,0.6675178376813217,0.34495967741935507,0.42307692307692313,0.026363636363636478,0.1875,0.0747191011235955,0.0,0.0,0.0
